x,y,z
-9.86379,-8.37397,30.4422
-9.70642,-8.05287,30.4342
-9.53392,-7.74183,30.3829
-9.34889,-7.44493,30.2908
-9.15405,-7.16567,30.1605
-8.95214,-6.90693,29.9953
-8.74591,-6.67094,29.7986
-8.53802,-6.45935,29.5741
-8.331,-6.27323,29.3255
-8.12722,-6.11314,29.0565
-7.92887,-5.97921,28.7707
-7.73791,-5.87122,28.4714
-7.55608,-5.78863,28.1619
-7.38489,-5.73071,27.8452
-7.22564,-5.69657,27.5241
-7.0794,-5.68521,27.2013
-6.94706,-5.6956,26.8791
-6.82931,-5.72669,26.5598
-6.72669,-5.77744,26.2454
-6.63957,-5.84687,25.9379
-6.56821,-5.93403,25.6391
-6.51276,-6.03805,25.3506
-6.47327,-6.15811,25.074
-6.44971,-6.29345,24.8111
-6.44198,-6.44337,24.5631
-6.44993,-6.60717,24.3317
-6.47335,-6.78421,24.1182
-6.51201,-6.97383,23.9242
-6.56562,-7.17534,23.751
-6.63384,-7.38801,23.6002
-6.71632,-7.61106,23.473
-6.81264,-7.84357,23.3711
-6.92234,-8.08452,23.2958
-7.04489,-8.33274,23.2484
-7.1797,-8.58687,23.2303
-7.32609,-8.84534,23.2429
-7.48327,-9.10635,23.2871
-7.65038,-9.36784,23.3641
-7.82641,-9.6275,23.4746
-8.0102,-9.88273,23.6192
-8.20046,-10.1307,23.7982
-8.39572,-10.3682,24.0114
-8.59437,-10.5919,24.2583
-8.7946,-10.7983,24.5378
-8.99442,-10.9837,24.8483
-9.1917,-11.1443,25.1875
-9.38416,-11.2766,25.5526
-9.56937,-11.377,25.9398
-9.74484,-11.4423,26.345
-9.90802,-11.4699,26.7631
-10.0564,-11.4574,27.1886
-10.1874,-11.4036,27.6153
-10.2989,-11.3077,28.037
-10.3885,-11.1701,28.4469
-10.4546,-10.992,28.8385
-10.4956,-10.7759,29.2051
-10.5104,-10.5248,29.5409
-10.4983,-10.243,29.8403
-10.4593,-9.93526,30.0987
-10.3937,-9.60714,30.3123
-10.3024,-9.26445,30.4784
-10.1867,-8.91321,30.5953
-10.0484,-8.55941,30.6625
-9.88966,-8.20881,30.6804
-9.71307,-7.86676,30.6505
-9.52135,-7.53809,30.5748
-9.31742,-7.22696,30.4563
-9.10427,-6.93685,30.2984
-8.88493,-6.67051,30.1048
-8.66236,-6.42999,29.8795
-8.43938,-6.21665,29.6266
-8.21867,-6.03127,29.3501
-8.00268,-5.87411,29.0539
-7.79366,-5.74498,28.7419
-7.59357,-5.64334,28.4177
-7.40415,-5.56838,28.0844
-7.22687,-5.51911,27.7454
-7.06297,-5.49441,27.4033
-6.91346,-5.49311,27.0608
-6.77913,-5.51401,26.7204
-6.66061,-5.55594,26.3841
-6.55832,-5.61779,26.054
-6.47258,-5.6985,25.732
-6.40355,-5.79711,25.4199
-6.3513,-5.91272,25.1193
-6.31581,-6.04453,24.8318
-6.297,-6.19179,24.5589
-6.29471,-6.35384,24.3022
-6.30875,-6.53004,24.0632
-6.33888,-6.71976,23.8433
-6.38483,-6.92241,23.644
-6.44629,-7.13735,23.4667
-6.52292,-7.36388,23.3131
-6.61435,-7.60124,23.1846
-6.72016,-7.84856,23.0826
-6.83987,-8.10481,23.0089
-6.97296,-8.36881,22.9647
-7.11882,-8.63915,22.9517
